settings,7,15,50,on
obstacle,186.0,107.0
obstacle,150.0,123.0
obstacle,196.0,157.0
obstacle,240.0,171.0
obstacle,278.0,193.0
obstacle,311.0,236.0
obstacle,331.0,280.0
obstacle,342.0,322.0
obstacle,351.0,370.0
obstacle,361.0,405.0
obstacle,362.0,450.0
obstacle,399.0,486.0
obstacle,443.0,487.0
obstacle,487.0,489.0
obstacle,526.0,492.0
obstacle,569.0,495.0
obstacle,608.0,492.0
obstacle,645.0,491.0
obstacle,698.0,491.0
obstacle,742.0,492.0
obstacle,781.0,497.0
obstacle,817.0,498.0
obstacle,860.0,499.0
obstacle,899.0,499.0
obstacle,893.0,442.0
obstacle,842.0,445.0
obstacle,798.0,438.0
obstacle,740.0,438.0
obstacle,699.0,437.0
obstacle,661.0,437.0
obstacle,618.0,434.0
obstacle,572.0,434.0
obstacle,529.0,433.0
obstacle,1132.0,579.0
obstacle,1139.0,524.0
obstacle,1139.0,480.0
obstacle,1134.0,433.0
obstacle,1134.0,384.0
obstacle,1124.0,345.0
obstacle,653.0,304.0
obstacle,696.0,303.0
obstacle,753.0,301.0
obstacle,776.0,303.0
obstacle,806.0,303.0
obstacle,845.0,306.0
obstacle,882.0,306.0
obstacle,918.0,309.0
obstacle,953.0,309.0
obstacle,1000.0,308.0
obstacle,1052.0,308.0
obstacle,1105.0,312.0
obstacle,1134.0,310.0
obstacle,500.0,389.0
obstacle,474.0,328.0
obstacle,472.0,265.0
obstacle,501.0,211.0
obstacle,552.0,179.0
obstacle,610.0,154.0
obstacle,683.0,142.0
obstacle,739.0,138.0
obstacle,790.0,140.0
obstacle,645.0,141.0
obstacle,839.0,133.0
obstacle,900.0,133.0
obstacle,948.0,132.0
obstacle,947.0,98.0
obstacle,901.0,98.0
obstacle,849.0,95.0
obstacle,811.0,97.0
obstacle,751.0,99.0
obstacle,688.0,95.0
obstacle,633.0,97.0
obstacle,596.0,97.0
obstacle,553.0,112.0
obstacle,218.0,91.0
obstacle,261.0,91.0
obstacle,303.0,92.0
obstacle,353.0,90.0
obstacle,387.0,90.0
obstacle,426.0,92.0
obstacle,473.0,94.0
obstacle,518.0,103.0
obstacle,238.0,132.0
obstacle,278.0,134.0
obstacle,323.0,133.0
obstacle,361.0,133.0
obstacle,411.0,137.0
obstacle,462.0,143.0
obstacle,505.0,149.0
obstacle,329.0,177.0
obstacle,366.0,182.0
obstacle,408.0,184.0
obstacle,444.0,186.0
obstacle,373.0,217.0
obstacle,380.0,267.0
obstacle,431.0,232.0
obstacle,426.0,270.0
obstacle,380.0,323.0
obstacle,429.0,322.0
obstacle,396.0,378.0
obstacle,442.0,370.0
obstacle,412.0,434.0
obstacle,452.0,419.0
obstacle,481.0,439.0
obstacle,1148.0,264.0
obstacle,1147.0,234.0
obstacle,1090.0,597.0
obstacle,1135.0,4.0
obstacle,1148.0,54.0
obstacle,1098.0,266.0
obstacle,1047.0,259.0
obstacle,1008.0,267.0
obstacle,981.0,286.0
obstacle,1106.0,229.0
obstacle,2.0,254.0
obstacle,52.0,294.0
obstacle,88.0,304.0
obstacle,122.0,336.0
obstacle,144.0,379.0
obstacle,151.0,429.0
obstacle,164.0,481.0
obstacle,155.0,541.0
obstacle,167.0,588.0
obstacle,202.0,594.0
obstacle,16.0,591.0
obstacle,14.0,542.0
obstacle,10.0,488.0
obstacle,8.0,436.0
obstacle,0.0,380.0
obstacle,0.0,305.0
obstacle,2.0,355.0
obstacle,45.0,349.0
obstacle,83.0,359.0
obstacle,49.0,395.0
obstacle,102.0,410.0
obstacle,56.0,452.0
obstacle,104.0,468.0
obstacle,55.0,499.0
obstacle,116.0,524.0
obstacle,62.0,541.0
obstacle,115.0,573.0
obstacle,61.0,585.0
obstacle,116.0,600.0
controlled_robot,451.0,564.0
controlled_robot,451.0,607.0
